Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
RAIA3,30.50,41.22,2.98,0.897,0.00,1.777,4.31,18.18,5.06,16.73,16.73,4.93,2.18,2.20,17.80,7.22,0.00,635785000.00,0.12,0.00
LUXM4,21.50,41.64,4.04,3.282,0.69,2.880,-483.09,21.79,-19.11,21.72,12.81,15.06,7.88,0.96,14.44,9.70,6539.67,110589000.00,0.06,2.49
IMCH3,6.39,41.83,0.59,0.336,0.00,0.289,-9.49,12.28,-0.78,21.16,6.62,2.73,0.80,0.82,2.55,1.40,0.00,920589000.00,0.51,21.04
PTQS4,189.46,43.43,2.19,4.717,0.00,1.577,9.89,-7214.41,-35.73,-7466.35,-7466.35,-0.07,11.37,3.32,-0.02,5.04,0.00,1714950000.00,0.24,56.13
UOLL4,19.62,43.52,2.35,2.054,0.00,1.403,457.14,15.14,-12.83,16.49,16.49,13.56,4.69,1.01,10.57,5.40,0.00,1003690000.00,0.23,21.99
ENEV3,11.61,44.45,1.46,2.350,0.00,0.439,-574.77,12.07,-0.79,23.24,13.35,19.47,5.28,0.99,3.92,3.28,95349500.00,12599400000.00,1.47,23.66
RADL3,28.30,46.40,8.91,1.597,1.06,2.664,16.23,25.33,-23.05,26.32,14.71,6.31,3.51,1.39,15.03,19.19,189802000.00,5458660000.00,0.42,18.21
MYPK4,31.79,47.73,1.26,0.293,0.00,0.316,1.81,6.26,-1.68,11.82,7.30,4.68,1.30,1.48,7.37,2.65,0.00,3865180000.00,1.80,15.62
PLTO6,10.47,50.81,692616.00,0.690,0.00,0.901,2.90,55.05,-1.55,56.35,56.35,1.25,1.36,3.87,1.74,1363200.00,0.00,1000.00,21227.00,8.78
PEAB4,57.01,50.93,1.07,16.105,0.92,0.845,2.51,138.51,5.61,109.80,58.45,11.63,31.62,17.55,0.88,2.09,6980.55,687268000.00,0.16,-49.16
SULA11,22.25,52.23,1.13,0.432,0.27,0.314,0.85,-13.07,-4.60,6.62,8.51,-3.30,0.83,2.29,-5.62,2.17,0.00,8363840000.00,0.37,1.66
SULA3,7.43,52.32,1.13,0.433,0.27,0.314,0.85,-13.09,-4.61,6.59,8.48,-3.30,0.83,2.29,-5.62,2.17,0.00,8363840000.00,0.37,1.66
PLTO5,10.94,53.09,723708.00,0.721,0.00,0.942,3.03,57.52,-1.62,58.82,58.82,1.25,1.36,3.87,1.74,1363200.00,0.00,1000.00,21227.00,8.78
FFTL3,25.00,53.22,2.26,3.410,0.00,1.508,23.71,20.90,-15.54,20.55,20.55,16.32,8.16,1.37,8.91,4.24,0.00,6274030000.00,0.07,7.79
FFTL4,25.06,53.34,2.26,3.418,0.00,1.512,23.77,20.95,-15.58,20.60,20.60,16.32,8.16,1.37,8.91,4.24,0.00,6274030000.00,0.07,7.79
SULA4,7.63,53.73,1.17,0.444,0.26,0.323,0.88,-13.45,-4.73,6.24,8.02,-3.30,0.83,2.29,-5.62,2.17,0.00,8363840000.00,0.37,1.66
ONCO3,9.93,53.75,2.43,1.075,0.00,0.594,4.27,8.20,-1.67,13.32,9.98,13.11,3.73,1.71,8.61,4.52,16040100.00,2022040000.00,1.90,57.96
CEAB3,4.97,56.30,0.53,0.246,0.00,0.170,0.99,5.53,-0.83,8.28,2.37,4.45,0.44,1.56,4.24,0.95,18450200.00,2871160000.00,0.77,0.72
BSEV3,9.00,56.31,-10.76,0.889,0.00,0.776,-1.59,4.40,-1.02,7.59,3.70,20.19,1.58,0.39,20.66,-19.12,0.00,-853187000.00,-8.95,7.12
RDOR3,31.62,56.92,3.29,2.502,0.85,0.776,2.84,16.03,-2.61,16.64,12.42,15.61,4.64,2.51,7.33,5.77,151865000.00,22029300000.00,1.50,29.38
GVTT3,57.70,57.38,3.68,4.312,0.00,2.268,21.82,25.92,-18.43,26.65,26.65,16.64,7.52,1.66,10.32,6.42,0.00,2150790000.00,0.24,31.47
AESB3,12.38,58.88,1.69,2.522,0.71,0.372,2.30,9.97,-0.79,20.53,12.02,25.31,10.48,2.80,4.74,2.88,35649700.00,4401580000.00,2.69,12.26
AEDU3,18.35,59.34,3.32,4.141,0.00,2.159,17.00,41.06,-21.55,43.27,29.01,10.08,6.98,2.04,5.77,5.60,0.00,2415400000.00,0.30,20.90
AGRO3,23.28,60.48,1.17,2.094,13.91,0.715,3.15,56.85,35.83,72.55,24.42,3.68,3.46,2.25,1.43,1.93,9796020.00,2037980000.00,0.45,29.94
CPLE5,24.30,61.90,3.10,3.041,1.85,1.253,25.58,16.48,-3.12,19.41,14.59,18.45,5.10,1.35,8.37,5.01,7639.42,21443800000.00,0.69,11.51
SUBA3,84.00,61.95,8.39,8.067,0.00,6.778,8.03,115.78,8.09,106.17,106.17,6.97,13.02,5.55,19.11,13.54,0.00,530396000.00,0.00,0.00
ELET3,38.19,62.24,0.79,2.584,0.58,0.329,3.54,15.05,-0.81,21.10,13.59,17.17,3.89,2.05,2.42,1.28,456758000.00,110884000000.00,0.53,11.79
RAIL3,22.93,64.91,2.78,4.244,0.29,0.935,11.22,15.24,-2.00,19.34,11.39,27.85,6.52,1.76,7.03,4.29,229919000.00,15270400000.00,1.09,9.50
ELET6,42.47,69.21,0.88,2.873,3.52,0.366,3.94,16.74,-0.90,22.79,14.68,17.17,3.89,2.05,2.42,1.28,124616000.00,110884000000.00,0.53,11.79
PETZ3,7.60,70.00,1.90,1.184,0.37,0.938,6.59,17.21,-4.93,16.97,7.08,6.88,1.69,1.82,6.53,2.71,76488300.00,1849900000.00,0.15,36.55
DAGB33,375.00,71.75,1.60,0.640,0.00,0.510,15.24,11.87,-1.27,19.35,30.65,5.39,1.67,1.17,4.96,2.24,0.00,12597300000.00,1.18,32.08
ROMI4,185.00,74.40,14.95,10.482,0.00,7.474,23.32,66.94,67.11,69.02,56.77,15.66,14.15,2.10,13.11,20.09,0.00,1098280000.00,0.65,23.38
CTPC3,0.20,76.36,1.08,0.000,0.00,0.097,0.00,-16.86,0.00,-18.75,-18.75,0.00,0.00,0.00,0.00,1.41,0.00,2411000.00,0.00,-6.10
ELMD3,15.75,78.19,2.84,2.512,0.00,1.060,-8.95,14.42,-3.05,17.78,9.51,17.42,6.00,0.63,8.77,3.63,2941810.00,777183000.00,0.92,99.57
IGTI3,2.75,79.57,1.43,5.470,1.11,0.723,5.69,11.94,-3.13,15.91,11.88,45.83,7.37,1.94,7.82,1.80,831412.00,4036490000.00,0.92,10.16
RLOG3,23.08,82.76,4.26,1.534,0.00,0.229,1.49,5.32,-0.50,12.43,6.68,28.85,7.07,2.64,5.36,5.15,0.00,2507240000.00,9.08,8.76
CSED3,3.43,82.91,0.91,0.603,2.04,0.267,4.11,4.17,-0.56,4.80,2.64,14.47,0.73,1.39,7.87,1.10,997278.00,1385940000.00,0.72,7.53
CEPE3,128.00,83.05,5.98,1.174,0.00,0.730,29.75,8.04,-1.18,13.85,10.50,14.61,1.41,1.10,10.14,7.21,0.00,1596000000.00,4.67,9.27
CEGR3,89.00,84.35,20.05,3.767,1.15,5.412,466.91,26.04,-11.87,27.04,23.31,14.47,4.47,1.04,26.57,23.77,0.00,1152260000.00,1.09,7.59
IGTI11,22.34,92.35,1.66,6.349,0.96,0.840,6.60,13.85,-3.63,17.83,13.31,45.83,7.37,1.94,7.82,1.80,74855400.00,4036490000.00,0.92,10.16
HGTX3,37.50,101.99,3.57,4.178,0.00,2.480,7.50,105.87,9.93,106.77,42.50,3.95,4.10,2.47,3.00,3.51,0.00,1704940000.00,0.12,-4.62
PQUN3,15.44,104.31,1.88,0.545,0.00,0.523,7.57,19.50,-0.97,40.25,40.25,2.80,0.52,1.61,3.02,1.81,0.00,858692000.00,2.28,5.19
PQUN4,15.44,104.31,1.88,0.545,0.00,0.523,7.57,19.50,-0.97,40.25,40.25,2.80,0.52,1.61,3.02,1.81,0.00,858692000.00,2.28,5.19
TMAR6,42.01,112.59,0.71,0.519,0.00,0.181,1.49,4.04,-0.50,8.29,3.21,12.84,-0.42,1.62,5.78,0.63,0.00,20448500000.00,1.38,14.80
TMAR5,42.67,114.35,0.72,0.527,0.00,0.184,1.51,4.10,-0.51,8.35,3.24,12.84,-0.42,1.62,5.78,0.63,0.00,20448500000.00,1.38,14.80
ELET5,70.51,114.91,1.47,4.770,0.00,0.607,6.54,27.78,-1.50,33.84,21.79,17.17,3.89,2.05,2.42,1.28,2963.12,110884000000.00,0.53,11.79
FLCL6,9.91,115.65,61.25,11.283,0.00,11.168,143.05,64.97,-27.75,67.11,67.11,17.37,9.76,1.23,22.91,52.97,0.00,72920000.00,2.96,-29.63
NETC3,38.50,123.10,2.12,1.290,0.00,1.074,-33.02,10.82,-2.96,12.15,5.27,11.93,1.55,0.80,10.95,1.72,0.00,6812390000.00,0.28,66.63
NETC4,40.00,127.89,2.20,1.340,0.00,1.116,-34.31,11.24,-3.08,12.57,5.45,11.93,1.55,0.80,10.95,1.72,0.00,6812390000.00,0.28,66.63
FLCL3,11.50,134.20,71.08,13.094,0.00,12.959,166.00,75.40,-32.21,77.54,77.54,17.37,9.76,1.23,22.91,52.97,0.00,72920000.00,2.96,-29.63
SMFT3,19.36,135.48,2.61,7.877,0.00,0.912,8.48,99.56,-2.45,105.12,11.15,7.91,5.90,1.64,1.22,1.93,57028600.00,4343550000.00,0.78,-0.09
FLCL5,12.50,145.87,77.26,14.232,0.00,14.086,180.44,81.95,-35.01,84.09,84.09,17.37,9.76,1.23,22.91,52.97,0.00,72920000.00,2.96,-29.63
DTCY3,5.80,156.32,-116.96,6.284,0.00,5.764,-49.89,-67.96,-9.42,-68.78,50.81,-9.25,4.02,0.79,-9.21,-74.82,548.28,-552000.00,-2.08,-15.14
LWSA3,9.01,162.28,1.79,4.489,0.58,1.138,4.88,79.03,12.23,59.09,22.84,5.68,2.77,2.03,2.10,1.10,57695000.00,2986290000.00,0.03,45.12
CASN3,10.45,163.77,5.25,6.710,0.21,2.250,-43.02,42.22,-4.97,49.38,31.08,15.89,4.10,0.69,5.64,3.20,26.13,1890870000.00,0.93,7.17
TMAR3,62.00,166.16,1.04,0.765,0.00,0.268,2.20,5.96,-0.74,10.21,3.96,12.84,-0.42,1.62,5.78,0.63,0.00,20448500000.00,1.38,14.80
ESTC11,23.50,166.54,0.78,0.517,0.00,0.253,2.34,3.68,-0.60,10.04,4.81,14.06,0.38,1.74,8.05,0.47,0.00,3100240000.00,1.72,7.83
IGTA3,33.13,175.77,1.88,5.691,0.00,0.837,14.38,12.29,-3.17,15.07,11.24,46.31,3.75,1.25,9.07,1.07,0.00,3072700000.00,0.98,9.31
BIDI3,3.40,225.51,1.06,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,8348550000.00,0.00,37.00
BIDI4,3.41,226.17,1.06,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,8348550000.00,0.00,37.00
BIDI11,10.40,229.93,1.08,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,8348550000.00,0.00,37.00
NATU3,36.86,274.16,5.66,1.679,0.00,1.376,11.16,16.04,-4.13,17.82,10.43,10.47,0.61,1.41,12.03,2.06,0.00,5992010000.00,1.27,13.89
SQIA3,20.82,308.81,2.85,2.853,0.27,1.235,-22.86,31.47,-2.86,34.68,12.79,9.07,1.21,0.68,4.23,0.92,15350000.00,641990000.00,0.44,45.65
ELEV3,24.30,312.39,3.22,0.688,0.00,0.954,5.75,37.19,-5.18,51.41,51.41,1.85,0.27,1.47,3.01,1.03,0.00,489356000.00,1.35,3.69
YDUQ3,16.11,342.51,1.61,1.063,0.00,0.520,4.82,7.56,-1.23,13.92,6.67,14.06,0.38,1.74,8.05,0.47,61342000.00,3100240000.00,1.72,7.83
RHDS4,1.00,363.45,29.50,4.977,0.00,7.182,-593.56,68.11,-24.55,71.32,53.72,7.31,1.17,0.97,11.80,8.12,0.00,272045000.00,1.49,4.38
PRBC4,14.54,399.48,38.28,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.58,0.00,1237500000.00,0.00,-1.93
UBBR4,7.49,610.27,1.99,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,10317200000.00,0.00,10.58
MLFT4,22.39,647.86,11.67,44.539,0.00,5.890,46.32,97.18,-25.49,101.15,75.50,45.83,7.37,1.94,7.82,1.80,0.00,4036490000.00,0.92,10.16
UBBR11,14.75,1201.81,3.91,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,10317200000.00,0.00,10.58
UBBR3,18.00,1466.61,4.77,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,10317200000.00,0.00,10.58
DOHL4,5.90,2738.07,0.63,0.685,0.00,0.453,0.99,-48.70,1.72,-51.33,47.75,-1.41,0.03,6.64,-1.06,0.02,26818.90,712035000.00,0.17,10.08
DOHL3,10.00,4640.80,1.06,1.162,0.00,0.768,1.67,-82.54,2.92,-85.17,79.23,-1.41,0.03,6.64,-1.06,0.02,25.00,712035000.00,0.17,10.08
MEGA3,9.81,6973.73,1.21,2.457,0.00,0.363,-17.66,10.91,-0.66,24.36,13.99,22.53,0.16,0.88,3.63,0.02,17612000.00,5066810000.00,1.71,0.00
